timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1565481081557,196,Create User,201,,TG - Create users 1-669,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,196,0,56
1565481081859,206,Create User,201,,TG - Create users 1-670,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,206,0,57
1565481082159,193,Create User,201,,TG - Create users 1-671,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,193,0,57
1565481082458,193,Create User,201,,TG - Create users 1-672,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,192,0,55
1565481082759,205,Create User,201,,TG - Create users 1-673,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,205,0,59
1565481083058,700,Create User,201,,TG - Create users 1-674,text,true,,388,281,3,3,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,700,0,57
1565481083359,418,Create User,201,,TG - Create users 1-675,text,true,,388,281,2,2,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,417,0,59
1565481083659,302,Create User,201,,TG - Create users 1-676,text,true,,388,281,2,2,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,302,0,52
1565481083959,188,Create User,201,,TG - Create users 1-677,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,188,0,57
1565481084259,191,Create User,201,,TG - Create users 1-678,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,191,0,56
1565481084559,190,Create User,201,,TG - Create users 1-679,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,189,0,53
1565481084860,192,Create User,201,,TG - Create users 1-680,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,191,0,58
1565481085158,258,Create User,201,,TG - Create users 1-681,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,258,0,54
1565481085459,218,Create User,201,,TG - Create users 1-682,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,218,0,69
1565481085759,189,Create User,201,,TG - Create users 1-683,text,true,,388,281,1,1,https://csye6225-su19-kathiresank.me/LMSApp-0.0.1-SNAPSHOT/user/register,189,0,57
